event_id,start_time,end_time,duration_min,area,equipment,category,cause,shift,notes
EVT-0024,2026-01-10T20:26:00,2026-01-10T20:51:00,25,Finishing,Conveyor-01,Safety,Guard check,A,Operator notified maintenance.
EVT-0025,2026-01-11T05:22:00,2026-01-11T05:32:00,10,Utilities,Palletizer-01,Mechanical,Bearing wear,A,Reset and verified.
EVT-0026,2026-01-11T09:06:00,2026-01-11T09:36:00,30,Utilities,Palletizer-01,Mechanical,Bearing wear,A,Operator notified maintenance.
EVT-0027,2026-01-11T17:01:00,2026-01-11T17:11:00,10,Utilities,Wrapper-02,Safety,Spill cleanup,B,Short verification run.
EVT-0028,2026-01-11T20:16:00,2026-01-11T20:24:00,8,Finishing,Pump-05,Utility,Chilled water wait,B,Cleared and resumed.
EVT-0029,2026-01-11T22:51:00,2026-01-11T23:01:00,10,Utilities,Chiller-01,Mechanical,Belt misalignment,C,Operator notified maintenance.
EVT-0030,2026-01-12T08:49:00,2026-01-12T08:54:00,5,Warehouse,Wrapper-02,Electrical,Sensor fault,C,Adjusted alignment.
EVT-0031,2026-01-12T10:21:00,2026-01-12T11:11:00,50,Utilities,Mixer-02,Changeover,Clean-in-place,B,Adjusted alignment.
EVT-0032,2026-01-12T18:26:00,2026-01-12T18:36:00,10,Assembly,Oven-02,Quality,Label mismatch,C,Cleared and resumed.
EVT-0033,2026-01-12T23:24:00,2026-01-12T23:59:00,35,Assembly,Robot-04,Utility,Chilled water wait,C,Operator notified maintenance.
EVT-0034,2026-01-13T04:23:00,2026-01-13T04:53:00,30,Utilities,Conveyor-01,Material,Material shortage,B,Short verification run.
EVT-0035,2026-01-13T10:18:00,2026-01-13T10:30:00,12,Warehouse,Wrapper-02,Safety,Lockout review,C,Cleared and resumed.
EVT-0036,2026-01-13T17:43:00,2026-01-13T17:51:00,8,Packaging,Robot-04,Electrical,Control reset,A,Cleared and resumed.
EVT-0037,2026-01-13T22:20:00,2026-01-13T22:45:00,25,Warehouse,Conveyor-01,Changeover,Tooling setup,C,Cleared and resumed.
EVT-0038,2026-01-14T01:11:00,2026-01-14T02:11:00,60,Packaging,Sorter-01,Safety,Spill cleanup,A,Short verification run.
EVT-0039,2026-01-14T06:13:00,2026-01-14T06:33:00,20,Utilities,Mixer-02,Utility,Power fluctuation,B,Short verification run.
EVT-0040,2026-01-14T14:24:00,2026-01-14T15:09:00,45,Assembly,Press-03,Mechanical,Bearing wear,A,Operator notified maintenance.
EVT-0041,2026-01-15T00:05:00,2026-01-15T00:55:00,50,Assembly,Palletizer-01,Safety,Spill cleanup,B,Material staged after delay.
EVT-0042,2026-01-15T07:53:00,2026-01-15T08:03:00,10,Warehouse,Press-03,Changeover,Format change,A,Material staged after delay.
EVT-0043,2026-01-15T10:48:00,2026-01-15T11:18:00,30,Assembly,Sorter-01,Safety,Guard check,A,Reset and verified.
EVT-0044,2026-01-15T16:35:00,2026-01-15T16:47:00,12,Warehouse,Robot-04,Quality,Label mismatch,B,Cleared and resumed.
EVT-0045,2026-01-16T00:56:00,2026-01-16T01:56:00,60,Packaging,Wrapper-02,Electrical,Control reset,C,Adjusted alignment.
EVT-0046,2026-01-16T11:45:00,2026-01-16T12:05:00,20,Warehouse,Press-03,Utility,Power fluctuation,A,Adjusted alignment.
EVT-0047,2026-01-16T21:47:00,2026-01-16T21:52:00,5,Finishing,Press-03,Utility,Power fluctuation,A,Operator notified maintenance.
EVT-0048,2026-01-17T01:48:00,2026-01-17T01:58:00,10,Warehouse,Mixer-02,Material,Container swap,A,Cleared and resumed.
EVT-0049,2026-01-17T11:48:00,2026-01-17T12:18:00,30,Finishing,Mixer-02,Changeover,Clean-in-place,A,Operator notified maintenance.
EVT-0050,2026-01-17T16:33:00,2026-01-17T16:48:00,15,Packaging,Oven-02,Mechanical,Belt misalignment,C,Reset and verified.
EVT-0051,2026-01-17T18:52:00,2026-01-17T19:17:00,25,Warehouse,Oven-02,Quality,Label mismatch,C,Operator notified maintenance.
EVT-0052,2026-01-18T01:00:00,2026-01-18T01:25:00,25,Warehouse,Pump-05,Changeover,Clean-in-place,A,Material staged after delay.
EVT-0053,2026-01-18T11:20:00,2026-01-18T11:35:00,15,Assembly,Pump-05,Changeover,Format change,B,Reset and verified.
EVT-0054,2026-01-18T19:16:00,2026-01-18T19:41:00,25,Packaging,Robot-04,Quality,Rework hold,A,Operator notified maintenance.
EVT-0055,2026-01-19T01:51:00,2026-01-19T02:41:00,50,Assembly,Wrapper-02,Mechanical,Bearing wear,B,Operator notified maintenance.
EVT-0056,2026-01-19T11:39:00,2026-01-19T11:51:00,12,Packaging,Sorter-01,Safety,Lockout review,A,Material staged after delay.
EVT-0057,2026-01-19T16:40:00,2026-01-19T16:50:00,10,Finishing,Oven-02,Safety,Lockout review,B,Short verification run.
EVT-0058,2026-01-19T21:10:00,2026-01-19T21:28:00,18,Packaging,Wrapper-02,Quality,Spec check,B,Adjusted alignment.
EVT-0059,2026-01-20T06:17:00,2026-01-20T06:42:00,25,Packaging,Sorter-01,Safety,Lockout review,C,Adjusted alignment.
EVT-0060,2026-01-20T12:44:00,2026-01-20T13:14:00,30,Packaging,Robot-04,Mechanical,Bearing wear,A,Cleared and resumed.
EVT-0061,2026-01-20T18:52:00,2026-01-20T18:57:00,5,Assembly,Chiller-01,Utility,Air pressure dip,B,Material staged after delay.
EVT-0062,2026-01-21T00:21:00,2026-01-21T00:41:00,20,Warehouse,Oven-02,Electrical,Motor overload,B,Material staged after delay.
EVT-0063,2026-01-21T07:15:00,2026-01-21T07:23:00,8,Packaging,Press-03,Quality,Rework hold,A,Cleared and resumed.
EVT-0064,2026-01-21T08:40:00,2026-01-21T09:20:00,40,Utilities,Mixer-02,Mechanical,Seal leak,A,Reset and verified.
EVT-0065,2026-01-21T14:50:00,2026-01-21T15:50:00,60,Finishing,Conveyor-01,Mechanical,Belt misalignment,C,Short verification run.
EVT-0066,2026-01-21T21:24:00,2026-01-21T21:59:00,35,Packaging,Oven-02,Electrical,Motor overload,A,Reset and verified.
EVT-0067,2026-01-22T01:44:00,2026-01-22T01:59:00,15,Assembly,Robot-04,Mechanical,Belt misalignment,C,Cleared and resumed.
EVT-0068,2026-01-22T06:29:00,2026-01-22T06:44:00,15,Warehouse,Press-03,Material,Feed jam,B,Reset and verified.
EVT-0069,2026-01-22T12:00:00,2026-01-22T12:05:00,5,Packaging,Oven-02,Mechanical,Seal leak,A,Adjusted alignment.
EVT-0070,2026-01-22T21:11:00,2026-01-22T21:23:00,12,Packaging,Sorter-01,Material,Container swap,B,Adjusted alignment.
EVT-0071,2026-01-23T05:05:00,2026-01-23T05:35:00,30,Assembly,Robot-04,Quality,Rework hold,A,Material staged after delay.
EVT-0072,2026-01-23T08:58:00,2026-01-23T09:18:00,20,Packaging,Press-03,Quality,Spec check,A,Material staged after delay.
EVT-0073,2026-01-23T14:39:00,2026-01-23T14:59:00,20,Packaging,Mixer-02,Electrical,Motor overload,B,Adjusted alignment.
EVT-0074,2026-01-23T20:47:00,2026-01-23T21:22:00,35,Utilities,Conveyor-01,Electrical,Control reset,A,Operator notified maintenance.
EVT-0075,2026-01-24T02:57:00,2026-01-24T03:22:00,25,Utilities,Wrapper-02,Mechanical,Belt misalignment,C,Cleared and resumed.
EVT-0076,2026-01-24T08:32:00,2026-01-24T08:37:00,5,Assembly,Wrapper-02,Quality,Spec check,A,Cleared and resumed.
EVT-0077,2026-01-24T16:07:00,2026-01-24T16:15:00,8,Utilities,Oven-02,Material,Container swap,A,Operator notified maintenance.
EVT-0078,2026-01-25T01:51:00,2026-01-25T02:41:00,50,Packaging,Chiller-01,Mechanical,Bearing wear,A,Short verification run.
EVT-0079,2026-01-25T04:23:00,2026-01-25T04:43:00,20,Utilities,Chiller-01,Mechanical,Seal leak,A,Reset and verified.
EVT-0080,2026-01-25T08:21:00,2026-01-25T09:01:00,40,Warehouse,Sorter-01,Safety,Lockout review,C,Short verification run.
EVT-0081,2026-01-25T12:34:00,2026-01-25T12:49:00,15,Warehouse,Press-03,Safety,Guard check,C,Adjusted alignment.
EVT-0082,2026-01-25T21:08:00,2026-01-25T21:53:00,45,Warehouse,Press-03,Safety,Spill cleanup,C,Adjusted alignment.
EVT-0083,2026-01-25T23:09:00,2026-01-26T00:09:00,60,Warehouse,Robot-04,Safety,Guard check,A,Reset and verified.
EVT-0084,2026-01-26T03:25:00,2026-01-26T04:05:00,40,Packaging,Sorter-01,Quality,Rework hold,C,Reset and verified.
EVT-0085,2026-01-26T05:24:00,2026-01-26T06:04:00,40,Assembly,Pump-05,Changeover,Tooling setup,A,Short verification run.
EVT-0086,2026-01-26T08:15:00,2026-01-26T09:00:00,45,Warehouse,Mixer-02,Changeover,Clean-in-place,C,Reset and verified.
EVT-0087,2026-01-26T18:05:00,2026-01-26T18:20:00,15,Packaging,Chiller-01,Utility,Air pressure dip,C,Operator notified maintenance.
EVT-0088,2026-01-26T23:16:00,2026-01-27T00:01:00,45,Finishing,Pump-05,Safety,Lockout review,A,Short verification run.
EVT-0089,2026-01-27T05:55:00,2026-01-27T06:45:00,50,Warehouse,Robot-04,Mechanical,Bearing wear,C,Operator notified maintenance.
EVT-0090,2026-01-27T13:24:00,2026-01-27T13:39:00,15,Utilities,Palletizer-01,Safety,Spill cleanup,A,Reset and verified.
EVT-0091,2026-01-27T22:52:00,2026-01-27T22:57:00,5,Utilities,Mixer-02,Material,Container swap,A,Material staged after delay.
EVT-0092,2026-01-28T08:18:00,2026-01-28T08:33:00,15,Warehouse,Chiller-01,Safety,Lockout review,B,Short verification run.
EVT-0093,2026-01-28T11:34:00,2026-01-28T12:04:00,30,Utilities,Mixer-02,Electrical,Control reset,A,Cleared and resumed.
EVT-0094,2026-01-28T20:53:00,2026-01-28T21:01:00,8,Warehouse,Pump-05,Utility,Chilled water wait,B,Operator notified maintenance.
EVT-0095,2026-01-29T01:36:00,2026-01-29T01:44:00,8,Packaging,Press-03,Changeover,Clean-in-place,C,Cleared and resumed.
