event_id,start_time,end_time,duration_min,area,equipment,category,cause,shift,notes
EVT-0028,2026-01-16T10:45:00,2026-01-16T11:28:00,43,Assembly,Line-01,Material,Material shortage,Shift-Zeta,Cleared and resumed.
EVT-0029,2026-01-13T02:20:00,2026-01-13T02:53:00,33,Quality,Station-09,Mechanical,Startup check,Shift-Delta,Running stable after adjustment.
EVT-0030,2025-12-18T06:40:00,2025-12-18T06:52:00,12,Finishing,Station-09,Changeover,Guard reset,Shift-Zeta,Running stable after adjustment.
EVT-0031,2026-01-03T21:20:00,2026-01-03T21:27:00,7,Packaging,Station-09,Quality,Format swap,Shift-Alpha,Operator notified maintenance.
EVT-0032,2025-12-20T06:10:00,2025-12-20T07:03:00,53,Finishing,Cell-Beta,Electrical,Sensor recalibration,Shift-Alpha,Running stable after adjustment.
EVT-0033,2026-01-17T13:10:00,2026-01-17T13:23:00,13,Warehouse,Wrapper-01,Logistics,Jam clear,Shift-Zeta,Paused to align with upstream.
EVT-0034,2026-01-23T21:25:00,2026-01-23T21:34:00,9,Warehouse,Line-01,Mechanical,Format swap,Shift-Delta,Cleared and resumed.
EVT-0035,2026-01-25T10:45:00,2026-01-25T11:17:00,32,Utilities,Station-09,Logistics,Packaging film change,Shift-Gamma,Cleared and resumed.
EVT-0036,2025-12-26T00:25:00,2025-12-26T00:40:00,15,Utilities,Filler-02,Logistics,Inspection hold,Shift-Alpha,Running stable after adjustment.
EVT-0037,2026-01-24T03:15:00,2026-01-24T03:47:00,32,Utilities,Station-09,Quality,Sensor recalibration,Shift-Delta,Reset and verified.
EVT-0038,2026-01-17T10:15:00,2026-01-17T10:41:00,26,Packaging,Line-02,Quality,Sensor recalibration,Shift-Zeta,Paused to align with upstream.
EVT-0039,2025-12-13T11:25:00,2025-12-13T12:16:00,51,Quality,Line-03,Material,Sensor recalibration,Shift-Beta,Reset and verified.
EVT-0040,2025-12-13T05:45:00,2025-12-13T05:59:00,14,Quality,Line-02,Material,Temperature recovery,Shift-Delta,Paused to align with upstream.
EVT-0041,2026-01-18T18:35:00,2026-01-18T19:23:00,48,Utilities,Sorter-03,Electrical,Inspection hold,Shift-Beta,Running stable after adjustment.
EVT-0042,2025-12-05T15:35:00,2025-12-05T16:20:00,45,Finishing,Cell-Beta,Quality,Format swap,Shift-Gamma,Paused to align with upstream.
EVT-0043,2025-12-05T09:35:00,2025-12-05T10:08:00,33,Assembly,Line-01,Electrical,Guard reset,Shift-Alpha,Temporary workaround applied.
EVT-0044,2026-01-25T02:45:00,2026-01-25T03:28:00,43,Utilities,Station-09,Mechanical,Startup check,Shift-Zeta,Temporary workaround applied.
EVT-0045,2026-01-27T01:35:00,2026-01-27T02:31:00,56,Utilities,Cell-Alpha,Electrical,Startup check,Shift-Delta,Paused to align with upstream.
EVT-0046,2025-12-10T01:35:00,2025-12-10T01:46:00,11,Finishing,Line-02,Quality,Material shortage,Shift-Alpha,Operator notified maintenance.
EVT-0047,2026-01-15T14:35:00,2026-01-15T15:13:00,38,Utilities,Sorter-03,Material,Inspection hold,Shift-Gamma,Reset and verified.
EVT-0048,2025-12-25T13:25:00,2025-12-25T14:13:00,48,Utilities,Line-01,Logistics,Inspection hold,Shift-Alpha,Reset and verified.
EVT-0049,2025-12-07T17:50:00,2025-12-07T18:19:00,29,Finishing,Cell-Beta,Logistics,Startup check,Shift-Beta,Reset and verified.
EVT-0050,2025-12-06T18:50:00,2025-12-06T19:04:00,14,Finishing,Cell-Beta,Logistics,Packaging film change,Shift-Beta,Paused to align with upstream.
EVT-0051,2026-01-15T02:20:00,2026-01-15T03:00:00,40,Warehouse,Station-05,Material,Nozzle cleanout,Shift-Alpha,Temporary workaround applied.
EVT-0052,2026-01-12T13:40:00,2026-01-12T14:08:00,28,Assembly,Station-05,Electrical,Material shortage,Shift-Beta,Reset and verified.
EVT-0053,2026-01-19T15:15:00,2026-01-19T15:34:00,19,Packaging,Line-03,Changeover,Guard reset,Shift-Alpha,Paused to align with upstream.
EVT-0054,2026-01-19T17:55:00,2026-01-19T18:33:00,38,Assembly,Station-05,Quality,Material shortage,Shift-Zeta,Running stable after adjustment.
EVT-0055,2025-12-10T05:10:00,2025-12-10T06:08:00,58,Quality,Sorter-03,Material,Temperature recovery,Shift-Alpha,Running stable after adjustment.
EVT-0056,2025-12-24T21:55:00,2025-12-24T22:15:00,20,Warehouse,Sorter-03,Electrical,Temperature recovery,Shift-Beta,Paused to align with upstream.
EVT-0057,2025-12-16T09:35:00,2025-12-16T10:33:00,58,Packaging,Station-05,Logistics,Startup check,Shift-Delta,Running stable after adjustment.
EVT-0058,2026-01-19T09:30:00,2026-01-19T10:07:00,37,Utilities,Station-09,Material,Jam clear,Shift-Zeta,Operator notified maintenance.
EVT-0059,2026-01-25T08:00:00,2026-01-25T08:46:00,46,Warehouse,Station-05,Quality,Sensor recalibration,Shift-Zeta,Cleared and resumed.
EVT-0060,2025-12-19T02:10:00,2025-12-19T02:32:00,22,Warehouse,Wrapper-01,Material,Packaging film change,Shift-Alpha,Operator notified maintenance.
EVT-0061,2026-01-22T14:25:00,2026-01-22T14:31:00,6,Warehouse,Line-01,Mechanical,Nozzle cleanout,Shift-Gamma,Operator notified maintenance.
EVT-0062,2025-12-25T02:25:00,2025-12-25T02:44:00,19,Assembly,Station-05,Changeover,Inspection hold,Shift-Beta,Operator notified maintenance.
EVT-0063,2025-12-03T09:35:00,2025-12-03T10:24:00,49,Packaging,Filler-02,Mechanical,Startup check,Shift-Alpha,Cleared and resumed.
EVT-0064,2025-12-02T08:15:00,2025-12-02T09:13:00,58,Packaging,Wrapper-01,Logistics,Startup check,Shift-Zeta,Running stable after adjustment.
EVT-0065,2025-12-08T09:15:00,2025-12-08T09:39:00,24,Assembly,Line-01,Material,Packaging film change,Shift-Zeta,Running stable after adjustment.
EVT-0066,2025-12-05T03:35:00,2025-12-05T04:18:00,43,Utilities,Line-01,Logistics,Nozzle cleanout,Shift-Zeta,Operator notified maintenance.
EVT-0067,2026-01-15T04:20:00,2026-01-15T04:52:00,32,Assembly,Sorter-03,Electrical,Jam clear,Shift-Zeta,Running stable after adjustment.
EVT-0068,2025-12-12T21:50:00,2025-12-12T22:00:00,10,Utilities,Station-05,Changeover,Nozzle cleanout,Shift-Zeta,Paused to align with upstream.
EVT-0069,2026-01-20T16:40:00,2026-01-20T16:46:00,6,Warehouse,Filler-02,Changeover,Packaging film change,Shift-Gamma,Reset and verified.
EVT-0070,2026-01-17T00:25:00,2026-01-17T01:20:00,55,Assembly,Station-05,Material,Sensor recalibration,Shift-Zeta,Temporary workaround applied.
EVT-0071,2026-01-18T10:10:00,2026-01-18T10:17:00,7,Finishing,Wrapper-01,Electrical,Material shortage,Shift-Delta,Temporary workaround applied.
EVT-0072,2025-12-31T20:10:00,2025-12-31T21:06:00,56,Packaging,Line-02,Logistics,Temperature recovery,Shift-Alpha,Reset and verified.
EVT-0073,2025-12-13T01:15:00,2025-12-13T01:22:00,7,Finishing,Cell-Beta,Quality,Packaging film change,Shift-Zeta,Running stable after adjustment.
EVT-0074,2025-12-17T01:50:00,2025-12-17T02:07:00,17,Finishing,Station-05,Changeover,Inspection hold,Shift-Gamma,Cleared and resumed.
EVT-0075,2026-01-21T11:30:00,2026-01-21T12:00:00,30,Quality,Filler-02,Mechanical,Inspection hold,Shift-Beta,Running stable after adjustment.
EVT-0076,2026-01-14T15:25:00,2026-01-14T16:21:00,56,Utilities,Cell-Beta,Changeover,Packaging film change,Shift-Alpha,Running stable after adjustment.
EVT-0077,2026-01-08T05:40:00,2026-01-08T06:03:00,23,Finishing,Line-02,Changeover,Inspection hold,Shift-Gamma,Reset and verified.
EVT-0078,2025-12-29T19:55:00,2025-12-29T20:27:00,32,Packaging,Filler-02,Electrical,Temperature recovery,Shift-Alpha,Temporary workaround applied.
EVT-0079,2026-01-25T11:45:00,2026-01-25T12:17:00,32,Finishing,Line-01,Changeover,Packaging film change,Shift-Gamma,Paused to align with upstream.
EVT-0080,2026-01-21T23:50:00,2026-01-22T00:05:00,15,Assembly,Line-03,Quality,Temperature recovery,Shift-Alpha,Operator notified maintenance.
EVT-0081,2025-12-05T07:50:00,2025-12-05T08:18:00,28,Finishing,Station-09,Quality,Format swap,Shift-Zeta,Operator notified maintenance.
EVT-0082,2026-01-13T14:25:00,2026-01-13T14:53:00,28,Warehouse,Line-02,Quality,Material shortage,Shift-Zeta,Reset and verified.
EVT-0083,2025-12-26T10:50:00,2025-12-26T11:12:00,22,Packaging,Line-02,Changeover,Material shortage,Shift-Delta,Paused to align with upstream.
EVT-0084,2025-12-25T17:05:00,2025-12-25T17:26:00,21,Finishing,Filler-02,Material,Startup check,Shift-Gamma,Temporary workaround applied.
EVT-0085,2026-01-28T15:15:00,2026-01-28T15:27:00,12,Packaging,Line-02,Mechanical,Material shortage,Shift-Delta,Cleared and resumed.
EVT-0086,2026-01-21T21:25:00,2026-01-21T22:12:00,47,Finishing,Line-02,Quality,Nozzle cleanout,Shift-Gamma,Reset and verified.
EVT-0087,2026-01-24T05:55:00,2026-01-24T06:45:00,50,Quality,Line-03,Electrical,Nozzle cleanout,Shift-Beta,Cleared and resumed.
EVT-0088,2025-12-13T04:15:00,2025-12-13T05:10:00,55,Warehouse,Line-01,Electrical,Nozzle cleanout,Shift-Zeta,Reset and verified.
EVT-0089,2025-12-30T17:10:00,2025-12-30T17:54:00,44,Assembly,Line-02,Electrical,Packaging film change,Shift-Delta,Paused to align with upstream.
EVT-0090,2025-12-27T13:45:00,2025-12-27T13:54:00,9,Packaging,Station-05,Logistics,Sensor recalibration,Shift-Delta,Running stable after adjustment.
EVT-0091,2026-01-13T16:25:00,2026-01-13T16:38:00,13,Utilities,Sorter-03,Material,Material shortage,Shift-Delta,Paused to align with upstream.
EVT-0092,2026-01-28T01:05:00,2026-01-28T01:43:00,38,Packaging,Cell-Beta,Material,Material shortage,Shift-Gamma,Temporary workaround applied.
EVT-0093,2025-12-15T11:40:00,2025-12-15T12:03:00,23,Assembly,Cell-Beta,Material,Nozzle cleanout,Shift-Gamma,Operator notified maintenance.
EVT-0094,2026-01-10T09:45:00,2026-01-10T10:24:00,39,Assembly,Wrapper-01,Logistics,Material shortage,Shift-Zeta,Paused to align with upstream.
EVT-0095,2025-12-10T05:50:00,2025-12-10T06:34:00,44,Quality,Sorter-03,Electrical,Startup check,Shift-Alpha,Cleared and resumed.
EVT-0096,2025-12-06T01:50:00,2025-12-06T02:44:00,54,Utilities,Cell-Beta,Logistics,Jam clear,Shift-Zeta,Running stable after adjustment.
EVT-0097,2026-01-09T20:00:00,2026-01-09T20:36:00,36,Quality,Wrapper-01,Electrical,Guard reset,Shift-Delta,Operator notified maintenance.
EVT-0098,2026-01-21T21:30:00,2026-01-21T21:54:00,24,Warehouse,Line-02,Logistics,Format swap,Shift-Beta,Running stable after adjustment.
EVT-0099,2025-12-27T15:35:00,2025-12-27T15:53:00,18,Finishing,Sorter-03,Material,Inspection hold,Shift-Gamma,Temporary workaround applied.
EVT-0100,2026-01-25T11:30:00,2026-01-25T11:43:00,13,Finishing,Wrapper-01,Quality,Sensor recalibration,Shift-Gamma,Operator notified maintenance.
EVT-0101,2025-12-30T03:20:00,2025-12-30T03:53:00,33,Packaging,Line-03,Changeover,Format swap,Shift-Gamma,Running stable after adjustment.
EVT-0102,2026-01-25T19:30:00,2026-01-25T19:50:00,20,Packaging,Station-05,Quality,Inspection hold,Shift-Beta,Operator notified maintenance.
EVT-0103,2026-01-01T16:35:00,2026-01-01T17:11:00,36,Finishing,Filler-02,Changeover,Sensor recalibration,Shift-Delta,Paused to align with upstream.
EVT-0104,2025-12-30T07:15:00,2025-12-30T07:57:00,42,Finishing,Line-01,Changeover,Guard reset,Shift-Delta,Paused to align with upstream.
EVT-0105,2026-01-26T20:50:00,2026-01-26T21:25:00,35,Finishing,Wrapper-01,Changeover,Sensor recalibration,Shift-Delta,Operator notified maintenance.
EVT-0106,2026-01-26T08:55:00,2026-01-26T09:23:00,28,Warehouse,Station-05,Changeover,Packaging film change,Shift-Alpha,Paused to align with upstream.
EVT-0107,2026-01-05T06:25:00,2026-01-05T07:05:00,40,Finishing,Line-02,Mechanical,Nozzle cleanout,Shift-Delta,Paused to align with upstream.
EVT-0108,2025-12-18T19:50:00,2025-12-18T20:34:00,44,Assembly,Line-03,Changeover,Packaging film change,Shift-Gamma,Reset and verified.
EVT-0109,2026-01-05T11:10:00,2026-01-05T11:27:00,17,Utilities,Wrapper-01,Mechanical,Nozzle cleanout,Shift-Alpha,Cleared and resumed.
EVT-0110,2025-12-03T04:55:00,2025-12-03T05:21:00,26,Warehouse,Wrapper-01,Mechanical,Material shortage,Shift-Zeta,Paused to align with upstream.
EVT-0111,2025-12-09T10:45:00,2025-12-09T11:10:00,25,Packaging,Station-09,Quality,Guard reset,Shift-Zeta,Reset and verified.
EVT-0112,2026-01-02T16:40:00,2026-01-02T17:16:00,36,Quality,Sorter-03,Electrical,Temperature recovery,Shift-Alpha,Reset and verified.
EVT-0113,2025-12-22T21:05:00,2025-12-22T21:36:00,31,Utilities,Cell-Beta,Logistics,Format swap,Shift-Zeta,Running stable after adjustment.
EVT-0114,2025-12-17T20:45:00,2025-12-17T21:26:00,41,Packaging,Line-01,Quality,Temperature recovery,Shift-Beta,Paused to align with upstream.
EVT-0115,2026-01-10T23:45:00,2026-01-11T00:39:00,54,Warehouse,Line-03,Logistics,Jam clear,Shift-Alpha,Paused to align with upstream.
EVT-0116,2026-01-14T03:15:00,2026-01-14T03:21:00,6,Warehouse,Station-05,Mechanical,Material shortage,Shift-Delta,Temporary workaround applied.
EVT-0117,2025-12-14T13:40:00,2025-12-14T14:34:00,54,Utilities,Filler-02,Logistics,Format swap,Shift-Beta,Paused to align with upstream.
EVT-0118,2025-12-14T17:25:00,2025-12-14T18:12:00,47,Warehouse,Wrapper-01,Mechanical,Inspection hold,Shift-Beta,Running stable after adjustment.
EVT-0119,2026-01-28T17:25:00,2026-01-28T18:04:00,39,Finishing,Cell-Beta,Quality,Temperature recovery,Shift-Beta,Operator notified maintenance.
EVT-0120,2025-12-18T17:20:00,2025-12-18T17:39:00,19,Finishing,Cell-Beta,Logistics,Jam clear,Shift-Delta,Reset and verified.
EVT-0121,2025-12-31T11:40:00,2025-12-31T12:35:00,55,Quality,Cell-Beta,Electrical,Sensor recalibration,Shift-Zeta,Temporary workaround applied.
EVT-0122,2026-01-04T12:30:00,2026-01-04T13:27:00,57,Finishing,Line-03,Electrical,Format swap,Shift-Gamma,Temporary workaround applied.
EVT-0123,2025-12-06T11:35:00,2025-12-06T12:21:00,46,Finishing,Filler-02,Material,Jam clear,Shift-Zeta,Reset and verified.
EVT-0124,2026-01-29T17:55:00,2026-01-29T18:17:00,22,Packaging,Line-02,Quality,Startup check,Shift-Beta,Operator notified maintenance.
EVT-0125,2025-12-04T21:40:00,2025-12-04T21:59:00,19,Quality,Cell-Alpha,Changeover,Sensor recalibration,Shift-Delta,Reset and verified.
EVT-0126,2026-01-15T15:05:00,2026-01-15T15:53:00,48,Packaging,Line-01,Quality,Material shortage,Shift-Delta,Temporary workaround applied.
EVT-0127,2026-01-29T15:35:00,2026-01-29T16:21:00,46,Packaging,Cell-Beta,Electrical,Guard reset,Shift-Alpha,Cleared and resumed.
EVT-0128,2026-01-11T18:15:00,2026-01-11T18:54:00,39,Quality,Line-01,Material,Packaging film change,Shift-Beta,Cleared and resumed.
EVT-0129,2026-01-23T12:35:00,2026-01-23T12:51:00,16,Quality,Cell-Beta,Changeover,Format swap,Shift-Gamma,Paused to align with upstream.
EVT-0130,2026-01-08T03:25:00,2026-01-08T03:48:00,23,Warehouse,Wrapper-01,Quality,Temperature recovery,Shift-Beta,Paused to align with upstream.
EVT-0131,2025-12-30T08:15:00,2025-12-30T09:11:00,56,Assembly,Station-05,Material,Temperature recovery,Shift-Gamma,Temporary workaround applied.
EVT-0132,2025-12-12T00:55:00,2025-12-12T01:21:00,26,Finishing,Sorter-03,Logistics,Jam clear,Shift-Beta,Paused to align with upstream.
EVT-0133,2026-01-24T20:30:00,2026-01-24T21:27:00,57,Warehouse,Wrapper-01,Electrical,Sensor recalibration,Shift-Delta,Temporary workaround applied.
EVT-0134,2025-12-07T05:10:00,2025-12-07T05:45:00,35,Finishing,Cell-Alpha,Changeover,Guard reset,Shift-Delta,Operator notified maintenance.
EVT-0135,2025-12-29T08:25:00,2025-12-29T08:49:00,24,Utilities,Sorter-03,Changeover,Guard reset,Shift-Gamma,Temporary workaround applied.
EVT-0136,2025-12-16T01:50:00,2025-12-16T02:02:00,12,Warehouse,Cell-Beta,Material,Packaging film change,Shift-Zeta,Temporary workaround applied.
EVT-0137,2026-01-19T09:55:00,2026-01-19T10:07:00,12,Quality,Cell-Beta,Electrical,Startup check,Shift-Beta,Operator notified maintenance.
EVT-0138,2025-12-09T15:10:00,2025-12-09T15:44:00,34,Quality,Sorter-03,Electrical,Packaging film change,Shift-Zeta,Running stable after adjustment.
EVT-0139,2026-01-18T17:50:00,2026-01-18T18:47:00,57,Packaging,Cell-Alpha,Logistics,Startup check,Shift-Alpha,Paused to align with upstream.
EVT-0140,2025-12-29T16:55:00,2025-12-29T17:23:00,28,Assembly,Sorter-03,Changeover,Format swap,Shift-Zeta,Paused to align with upstream.
EVT-0141,2025-12-13T18:40:00,2025-12-13T18:54:00,14,Packaging,Station-05,Quality,Temperature recovery,Shift-Alpha,Temporary workaround applied.
EVT-0142,2025-12-14T22:45:00,2025-12-14T23:21:00,36,Assembly,Wrapper-01,Mechanical,Format swap,Shift-Delta,Operator notified maintenance.
EVT-0143,2026-01-02T13:35:00,2026-01-02T14:16:00,41,Assembly,Wrapper-01,Mechanical,Guard reset,Shift-Alpha,Running stable after adjustment.
EVT-0144,2025-12-17T00:55:00,2025-12-17T01:13:00,18,Utilities,Line-02,Changeover,Packaging film change,Shift-Gamma,Temporary workaround applied.
EVT-0145,2025-12-05T17:00:00,2025-12-05T17:09:00,9,Warehouse,Line-01,Electrical,Packaging film change,Shift-Beta,Operator notified maintenance.
EVT-0146,2026-01-19T20:55:00,2026-01-19T21:41:00,46,Warehouse,Station-05,Mechanical,Temperature recovery,Shift-Delta,Running stable after adjustment.
EVT-0147,2025-12-06T21:50:00,2025-12-06T22:50:00,60,Utilities,Line-03,Logistics,Inspection hold,Shift-Alpha,Operator notified maintenance.
EVT-0148,2026-01-04T12:40:00,2026-01-04T12:53:00,13,Quality,Cell-Alpha,Changeover,Format swap,Shift-Gamma,Running stable after adjustment.
EVT-0149,2026-01-13T23:40:00,2026-01-14T00:12:00,32,Utilities,Station-09,Material,Jam clear,Shift-Delta,Reset and verified.
EVT-0150,2025-12-10T08:15:00,2025-12-10T09:06:00,51,Assembly,Line-01,Logistics,Packaging film change,Shift-Zeta,Cleared and resumed.
EVT-0151,2025-12-16T06:05:00,2025-12-16T06:16:00,11,Utilities,Line-01,Mechanical,Startup check,Shift-Alpha,Operator notified maintenance.
EVT-0152,2026-01-17T01:30:00,2026-01-17T02:03:00,33,Packaging,Wrapper-01,Material,Format swap,Shift-Beta,Paused to align with upstream.
EVT-0153,2025-12-19T07:55:00,2025-12-19T08:36:00,41,Finishing,Sorter-03,Quality,Inspection hold,Shift-Beta,Reset and verified.
EVT-0154,2026-01-26T04:50:00,2026-01-26T05:28:00,38,Packaging,Station-09,Electrical,Guard reset,Shift-Alpha,Paused to align with upstream.
EVT-0155,2026-01-07T23:10:00,2026-01-07T23:55:00,45,Quality,Station-09,Quality,Temperature recovery,Shift-Alpha,Reset and verified.
EVT-0156,2026-01-11T21:30:00,2026-01-11T22:25:00,55,Utilities,Station-05,Logistics,Packaging film change,Shift-Delta,Operator notified maintenance.
EVT-0157,2025-12-20T12:10:00,2025-12-20T13:03:00,53,Utilities,Filler-02,Material,Jam clear,Shift-Gamma,Temporary workaround applied.
EVT-0158,2025-12-10T14:00:00,2025-12-10T14:40:00,40,Warehouse,Station-09,Quality,Nozzle cleanout,Shift-Beta,Running stable after adjustment.
EVT-0159,2025-12-16T08:15:00,2025-12-16T08:41:00,26,Quality,Line-02,Mechanical,Inspection hold,Shift-Alpha,Paused to align with upstream.
EVT-0160,2026-01-16T06:00:00,2026-01-16T06:22:00,22,Warehouse,Sorter-03,Quality,Format swap,Shift-Alpha,Operator notified maintenance.
EVT-0161,2026-01-21T18:55:00,2026-01-21T19:42:00,47,Utilities,Cell-Alpha,Mechanical,Jam clear,Shift-Gamma,Reset and verified.
EVT-0162,2026-01-28T00:15:00,2026-01-28T00:32:00,17,Quality,Line-02,Logistics,Temperature recovery,Shift-Beta,Temporary workaround applied.
EVT-0163,2026-01-08T22:15:00,2026-01-08T22:45:00,30,Packaging,Wrapper-01,Electrical,Guard reset,Shift-Delta,Running stable after adjustment.
EVT-0164,2026-01-04T20:25:00,2026-01-04T20:49:00,24,Finishing,Station-05,Quality,Temperature recovery,Shift-Delta,Cleared and resumed.
EVT-0165,2026-01-21T23:35:00,2026-01-22T00:28:00,53,Finishing,Cell-Alpha,Electrical,Inspection hold,Shift-Delta,Cleared and resumed.
EVT-0166,2026-01-06T07:55:00,2026-01-06T08:09:00,14,Assembly,Cell-Beta,Quality,Startup check,Shift-Zeta,Temporary workaround applied.
EVT-0167,2025-12-27T09:10:00,2025-12-27T09:27:00,17,Finishing,Cell-Alpha,Mechanical,Startup check,Shift-Beta,Running stable after adjustment.
EVT-0168,2026-01-05T20:50:00,2026-01-05T21:16:00,26,Finishing,Filler-02,Logistics,Temperature recovery,Shift-Delta,Operator notified maintenance.
EVT-0169,2026-01-16T11:10:00,2026-01-16T11:23:00,13,Quality,Wrapper-01,Mechanical,Material shortage,Shift-Zeta,Temporary workaround applied.
EVT-0170,2025-12-04T16:00:00,2025-12-04T16:58:00,58,Assembly,Line-01,Changeover,Packaging film change,Shift-Beta,Temporary workaround applied.
EVT-0171,2025-12-15T02:55:00,2025-12-15T03:09:00,14,Assembly,Cell-Alpha,Quality,Temperature recovery,Shift-Gamma,Cleared and resumed.
EVT-0172,2026-01-09T20:50:00,2026-01-09T21:34:00,44,Warehouse,Filler-02,Changeover,Format swap,Shift-Zeta,Paused to align with upstream.
EVT-0173,2025-12-27T00:00:00,2025-12-27T00:38:00,38,Quality,Cell-Beta,Quality,Guard reset,Shift-Alpha,Paused to align with upstream.
EVT-0174,2026-01-22T22:50:00,2026-01-22T23:22:00,32,Packaging,Line-02,Changeover,Nozzle cleanout,Shift-Beta,Operator notified maintenance.
EVT-0175,2025-12-13T19:40:00,2025-12-13T20:01:00,21,Finishing,Cell-Beta,Mechanical,Sensor recalibration,Shift-Gamma,Running stable after adjustment.
EVT-0176,2025-12-30T18:15:00,2025-12-30T19:04:00,49,Packaging,Cell-Beta,Logistics,Sensor recalibration,Shift-Alpha,Cleared and resumed.
EVT-0177,2025-12-26T12:30:00,2025-12-26T13:10:00,40,Warehouse,Line-01,Logistics,Format swap,Shift-Beta,Cleared and resumed.
EVT-0178,2026-01-01T13:50:00,2026-01-01T14:45:00,55,Finishing,Sorter-03,Changeover,Nozzle cleanout,Shift-Alpha,Operator notified maintenance.
EVT-0179,2025-12-14T22:45:00,2025-12-14T23:20:00,35,Finishing,Line-01,Changeover,Guard reset,Shift-Zeta,Paused to align with upstream.
EVT-0180,2026-01-12T01:10:00,2026-01-12T02:09:00,59,Finishing,Line-01,Material,Startup check,Shift-Beta,Temporary workaround applied.
EVT-0181,2026-01-22T12:05:00,2026-01-22T12:29:00,24,Packaging,Sorter-03,Material,Startup check,Shift-Delta,Temporary workaround applied.
